[0.000000] (-) TimerEvent: {}
[0.001035] (-) JobUnselected: {'identifier': 'my_pick_and_place_pkg'}
[0.001099] (-) JobUnselected: {'identifier': 'ur_simulation_gz'}
[0.001121] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.187626] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10\n'}
[0.188557] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10/physical_parameters.yaml\n'}
[0.188696] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10/default_kinematics.yaml\n'}
[0.188758] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10/visual_parameters.yaml\n'}
[0.188812] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10/joint_limits.yaml\n'}
[0.188861] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/initial_positions.yaml\n'}
[0.188930] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10e\n'}
[0.189926] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10e/physical_parameters.yaml\n'}
[0.190106] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10e/default_kinematics.yaml\n'}
[0.190166] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10e/visual_parameters.yaml\n'}
[0.190220] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur10e/joint_limits.yaml\n'}
[0.190272] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur12e\n'}
[0.190697] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur12e/physical_parameters.yaml\n'}
[0.190850] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur12e/default_kinematics.yaml\n'}
[0.190905] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur12e/visual_parameters.yaml\n'}
[0.190953] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur12e/joint_limits.yaml\n'}
[0.191000] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3\n'}
[0.191829] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml\n'}
[0.191931] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml\n'}
[0.191981] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml\n'}
[0.192029] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml\n'}
[0.192075] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur30\n'}
[0.192673] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml\n'}
[0.192823] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml\n'}
[0.192878] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml\n'}
[0.192926] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml\n'}
[0.192971] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3e\n'}
[0.193358] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml\n'}
[0.193793] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml\n'}
[0.193854] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml\n'}
[0.193903] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml\n'}
[0.193950] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5\n'}
[0.194868] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5/physical_parameters.yaml\n'}
[0.195130] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml\n'}
[0.195386] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5/visual_parameters.yaml\n'}
[0.195543] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml\n'}
[0.195778] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur20\n'}
[0.197483] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur20/physical_parameters.yaml\n'}
[0.197618] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur20/default_kinematics.yaml\n'}
[0.197677] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur20/visual_parameters.yaml\n'}
[0.197728] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur20/joint_limits.yaml\n'}
[0.197775] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5e\n'}
[0.197831] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5e/physical_parameters.yaml\n'}
[0.197875] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5e/default_kinematics.yaml\n'}
[0.197920] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5e/visual_parameters.yaml\n'}
[0.197964] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur5e/joint_limits.yaml\n'}
[0.198008] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur16e\n'}
[0.198051] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur16e/physical_parameters.yaml\n'}
[0.198097] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur16e/default_kinematics.yaml\n'}
[0.198142] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur16e/visual_parameters.yaml\n'}
[0.198185] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur16e/joint_limits.yaml\n'}
[0.198228] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur7e\n'}
[0.198270] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur7e/physical_parameters.yaml\n'}
[0.198312] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur7e/default_kinematics.yaml\n'}
[0.198354] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur7e/visual_parameters.yaml\n'}
[0.198395] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/config/ur7e/joint_limits.yaml\n'}
[0.198436] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/launch\n'}
[0.198477] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/launch/view_ur.launch.py\n'}
[0.198520] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes\n'}
[0.198848] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10\n'}
[0.199245] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual\n'}
[0.199611] (-) TimerEvent: {}
[0.200521] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist3.dae\n'}
[0.200874] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist1.dae\n'}
[0.201255] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual/upperarm.dae\n'}
[0.201376] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual/shoulder.dae\n'}
[0.201766] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual/base.dae\n'}
[0.201839] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual/forearm.dae\n'}
[0.201899] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist2.dae\n'}
[0.201988] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision\n'}
[0.202042] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision/upperarm.stl\n'}
[0.202092] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist1.stl\n'}
[0.202140] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision/base.stl\n'}
[0.202184] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist3.stl\n'}
[0.202229] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist2.stl\n'}
[0.202273] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision/shoulder.stl\n'}
[0.202327] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10/collision/forearm.stl\n'}
[0.202372] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e\n'}
[0.202417] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual\n'}
[0.202462] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist3.dae\n'}
[0.202507] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist1.dae\n'}
[0.202551] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual/upperarm.dae\n'}
[0.202594] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual/shoulder.dae\n'}
[0.202638] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual/base.dae\n'}
[0.202682] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual/forearm.dae\n'}
[0.202726] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist2.dae\n'}
[0.202770] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/collision\n'}
[0.203662] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/upperarm.stl\n'}
[0.203767] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist1.stl\n'}
[0.203818] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/base.stl\n'}
[0.203866] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bin1225/ur_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist3.stl\n'}
